Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acquisition_axis_0_st_curr[3:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_in_tdata[31:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_in_tvalid,i_system_wrapper/system_i/acquisition_axis_0_xfft_cntr[16:0],i_system_wrapper/system_i/acquisition_axis_0_raw_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_raw_data_valid,i_system_wrapper/system_i/acquisition_axis_0_sincos_valid,i_system_wrapper/system_i/acquisition_axis_0_sincos_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_phase_count[31:0],i_system_wrapper/system_i/acquisition_axis_0_carr_mix,i_system_wrapper/system_i/acquisition_axis_0_config_xfft_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_config_xfft_valid,i_system_wrapper/system_i/acquisition_axis_0_st_xfft_next,i_system_wrapper/system_i/acquisition_axis_0_st_xfft_curr,i_system_wrapper/system_i/acquisition_axis_0_st_fft_next[2:0],i_system_wrapper/system_i/acquisition_axis_0_st_fft_curr[2:0],i_system_wrapper/system_i/acquisition_axis_0_switch_position,i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tvalid,i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tdata[31:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tlast,i_system_wrapper/system_i/acquisition_axis_0_event_frame_started,i_system_wrapper/system_i/acq_stop_slice_Dout,i_system_wrapper/system_i/acquisition_axis_0_xfft_tvalid1,i_system_wrapper/system_i/acquisition_axis_0_o_acq_done,i_system_wrapper/system_i/acquisition_axis_0_second_peak_valid,i_system_wrapper/system_i/acquisition_axis_0_second_peak_last,i_system_wrapper/system_i/acquisition_axis_0_max_peak[15:0],i_system_wrapper/system_i/acquisition_axis_0_max_index_done,i_system_wrapper/system_i/acquisition_axis_0_second_peak_data[31:0],i_system_wrapper/system_i/acquisition_axis_0_second_peak[31:0],i_system_wrapper/system_i/acquisition_axis_0_max_index[15:0],i_system_wrapper/system_i/acq_exclude_limit_slice_Dout[31:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_index[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX
65,65,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
66,66,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
67,67,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
68,68,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
69,69,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
70,70,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
71,71,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
72,72,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
73,73,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
74,74,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
75,75,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
76,76,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
77,77,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
78,78,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
79,79,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
80,80,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
81,81,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
82,82,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
83,83,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
84,84,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
85,85,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
86,86,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
